case;specid;latname;name;coordx;coordy;AQ;AQ.coordx;AQ.coordy;elev;rlength;nsurvey;forest;count041;count042;count043;count051;count052;count053;count061;count062;count063;count071;count072;count073;count081;count082;count083;count091;count092;count093;count101;count102;count103;count111;count112;count113;count121;count122;count123;count131;count132;count133;date041;date042;date043;date051;date052;date053;date061;date062;date063;date071;date072;date073;date081;date082;date083;date091;date092;date093;date101;date102;date103;date111;date112;date113;date121;date122;date123;date131;date132;date133;dur041;dur042;dur043;dur051;dur052;dur053;dur061;dur062;dur063;dur071;dur072;dur073;dur081;dur082;dur083;dur091;dur092;dur093;dur101;dur102;dur103;dur111;dur112;dur113;dur121;dur122;dur123;dur131;dur132;dur133;obs2004;obs2005;obs2006;obs2007;obs2008;obs2009;obs2010;obs2011;obs2012;obs2013
11;3790;PARMAJ;Great tit;958942;143276;11;960942;250724;1150;3.8;3;50;9;4;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;6;2;1;6;3;4;3;1;26;49;58;29;42;63;33;58;75;14;40;52;36;53;72;23;37;73;21;46;59;23;36;59;33;49;63;25;53;75;190;180;195;245;255;255;250;220;235;230;220;195;245;245;240;235;245;230;250;260;230;225;255;210;225;240;230;180;240;220;111;313;313;313;313;313;313;313;313;313
12;3790;PARMAJ;Great tit;964942;103276;8;960942;210724;750;7.7;3;57;NA;NA;NA;20;19;12;37;22;25;28;19;14;20;15;8;19;20;17;21;20;18;22;21;17;36;18;18;13;15;11;18;41;60;14;31;52;20;58;81;21;57;71;32;59;86;24;62;84;24;67;85;17;54;79;29;47;75;17;37;69;250;255;270;215;248;245;210;240;240;240;225;240;255;210;210;225;225;225;210;180;180;185;210;255;240;170;210;225;220;210;8;8;302;302;302;302;302;302;302;191
13;3790;PARMAJ;Great tit;964942;135276;11;960942;250724;1250;1.9;3;84;NA;NA;NA;6;6;0;6;4;3;2;2;3;6;2;2;4;1;1;2;1;1;2;1;0;1;5;7;6;3;3;33;54;68;29;57;64;40;55;83;49;66;85;44;57;80;47;62;75;53;66;76;37;56;76;41;57;77;44;67;74;120;125;125;225;225;225;180;180;195;170;165;167;150;180;150;150;150;150;125;150;120;130;135;135;120;135;120;135;130;85;146;146;146;146;146;146;146;146;146;146
14;3790;PARMAJ;Great tit;970942;95276;12;970942;210724;750;7.9;3;15;43;15;32;66;31;38;64;26;21;44;34;33;43;34;14;36;32;22;31;23;8;24;16;32;16;16;11;16;23;18;21;45;55;22;41;59;22;55;73;18;52;65;26;41;76;15;42;77;33;66;82;20;43;56;29;37;50;13;26;72;305;300;315;295;275;315;300;270;240;300;280;255;324;315;346;275;275;280;265;240;235;285;290;200;150;215;185;215;155;200;203;203;203;203;193;44;288;230;230;230
15;3790;PARMAJ;Great tit;970942;127276;13;970942;240724;450;4.4;3;17;NA;NA;NA;9;4;6;6;3;1;16;7;5;10;5;1;6;3;4;10;8;5;8;8;3;9;7;3;6;4;6;27;56;67;22;51;73;15;52;72;15;43;63;20;34;69;19;45;74;17;46;66;16;38;65;28;47;63;18;42;68;240;205;205;230;230;210;225;210;195;230;210;210;205;210;220;225;230;220;200;210;210;180;180;180;220;190;200;185;200;195;1;1;171;171;171;171;171;171;171;1
16;3790;PARMAJ;Great tit;970942;159276;14;970942;270724;1050;6;3;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;10;12;10;16;9;23;25;20;8;14;5;34;40;31;33;14;1;11;4;6;53;67;71;31;45;58;29;48;71;16;43;56;27;42;61;33;40;61;46;52;66;17;26;62;28;45;57;17;41;69;170;150;140;145;145;139;140;120;140;135;160;145;165;160;140;130;135;130;135;135;135;180;150;120;160;145;128;265;255;250;284;284;284;284;284;284;284;284;284;345
17;3790;PARMAJ;Great tit;976942;119276;19;980942;230724;750;6.2;3;26;3;2;3;8;8;6;9;7;2;17;11;10;6;10;1;7;4;7;16;14;1;7;7;4;19;15;5;8;7;6;17;46;83;39;67;81;26;67;87;26;49;70;17;45;85;25;40;73;27;53;77;24;48;74;25;40;68;13;35;69;170;155;175;170;160;175;190;210;180;230;230;220;220;220;200;190;180;210;190;195;185;190;210;185;190;205;230;195;185;240;288;288;288;288;288;288;288;288;288;288
18;3790;PARMAJ;Great tit;976942;151276;21;980942;260724;1250;6.1;3;32;3;4;4;3;2;3;3;2;3;1;4;3;3;4;5;NA;NA;NA;4;1;3;10;6;7;8;7;6;3;9;3;41;60;74;29;54;75;34;58;73;36;67;80;27;57;75;25;47;75;25;52;66;23;37;59;33;58;70;31;59;74;280;300;310;285;300;315;270;285;285;255;340;285;290;310;270;255;285;300;270;295;320;290;255;255;240;260;280;215;240;245;158;158;158;158;158;158;158;158;158;158
19;3790;PARMAJ;Great tit;982942;63276;15;980942;170724;1250;4.5;3;66;NA;NA;NA;2;8;0;3;4;2;4;10;4;5;7;2;6;5;3;6;8;8;6;4;2;3;1;7;9;2;2;33;58;75;37;51;72;27;47;75;24;53;73;30;53;74;32;52;73;24;55;74;36;56;76;57;67;78;37;57;72;100;100;95;125;120;125;225;255;255;255;255;240;255;240;270;240;255;225;300;310;330;325;330;340;315;220;300;225;220;235;187;187;137;137;137;137;44;44;239;256
20;3790;PARMAJ;Great tit;982942;79276;16;980942;190724;350;6.2;3;45;NA;NA;NA;13;12;13;9;13;8;14;15;7;9;9;4;9;8;11;14;9;9;17;8;8;9;8;5;14;12;8;18;45;73;23;52;66;16;43;58;22;49;62;19;47;73;18;46;62;17;38;69;17;44;58;35;50;70;18;34;56;180;195;180;180;240;220;165;185;195;180;195;210;165;180;190;165;165;165;165;180;180;150;165;165;160;160;150;180;180;180;277;277;277;277;277;277;277;277;277;277
21;3790;PARMAJ;Great tit;982942;95276;17;980942;210724;750;4.1;3;44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;28;15;38;25;30;15;12;7;33;32;7;37;21;27;35;35;23;23;40;57;15;29;50;17;29;50;19;26;54;25;42;75;18;38;60;29;51;75;15;35;60;30;45;76;13;24;69;195;180;210;190;200;195;240;315;235;240;240;240;244;244;215;210;210;200;150;180;180;300;265;180;195;195;210;180;210;165;7;7;118;118;193;137;227;341;302;302
22;3790;PARMAJ;Great tit;982942;111276;18;980942;220724;750;4.5;3;9;NA;NA;NA;6;10;5;10;5;2;10;14;8;6;11;10;9;3;3;7;9;5;8;6;3;9;5;5;4;5;7;NA;NA;NA;27;40;62;33;68;85;18;46;78;25;41;82;21;47;71;15;49;72;25;47;71;26;45;71;14;42;72;NA;NA;NA;180;180;170;170;190;165;220;190;180;180;185;165;160;145;125;170;165;165;170;170;155;130;120;165;130;135;164;NA;170;288;288;288;288;288;288;288;288
23;3790;PARMAJ;Great tit;982942;127276;20;980942;240724;550;6.9;3;31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;15;3;9;8;7;15;15;5;17;14;7;12;12;6;7;7;9;25;51;74;30;51;73;29;51;74;22;50;71;26;48;74;30;49;68;28;54;76;16;45;65;22;43;68;30;54;68;255;285;285;270;295;300;235;240;255;250;245;200;300;285;240;210;245;240;210;220;225;225;255;270;210;160;190;165;160;165;191;191;191;191;191;191;191;191;191;191
24;3790;PARMAJ;Great tit;988942;71276;23;990942;180724;350;4.7;3;8;NA;NA;NA;5;2;6;2;7;3;6;6;5;8;4;1;3;5;5;3;7;5;16;9;5;10;11;5;10;4;15;27;52;62;22;49;57;30;44;65;15;36;66;20;48;69;25;39;51;30;49;65;16;36;56;27;46;67;26;47;64;135;155;140;145;140;145;125;125;125;135;135;125;185;145;125;115;140;135;135;140;135;200;185;150;169;165;190;165;127;202;40;40;40;40;40;40;40;341;341;341
25;3790;PARMAJ;Great tit;988942;87276;24;990942;200724;1350;3.7;3;78;NA;NA;NA;1;1;0;5;9;7;6;5;3;8;3;4;2;2;3;3;2;5;8;2;2;2;1;2;0;0;1;49;70;79;56;66;71;43;72;90;40;69;81;44;73;86;49;69;91;47;70;98;42;71;90;50;75;82;66;78;86;305;285;275;235;235;230;240;210;240;275;260;255;270;315;270;280;285;265;255;270;240;265;245;300;185;225;225;205;222;200;314;314;302;339;339;339;339;339;121;121
26;3790;PARMAJ;Great tit;988942;151276;28;990942;260724;550;5.7;3;37;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;14;10;17;13;11;12;9;3;21;14;7;21;17;4;12;13;6;19;10;6;17;32;53;31;56;78;15;45;69;14;28;54;25;45;66;18;40;61;22;49;62;18;34;58;17;43;53;25;45;64;240;225;180;210;210;225;195;150;210;180;195;240;210;225;255;195;165;185;300;300;270;270;270;270;255;240;285;285;390;285;142;142;142;142;142;218;150;150;150;150
27;3790;PARMAJ;Great tit;988942;167276;29;990942;280724;1150;4;3;18;12;6;3;1;1;1;3;4;4;2;5;1;1;2;2;2;1;1;3;4;1;10;10;7;13;0;1;7;5;3;24;47;56;41;55;76;41;65;76;26;52;67;36;58;71;36;55;71;26;50;67;23;58;90;34;60;76;63;84;100;180;225;210;195;220;215;185;165;190;170;175;185;165;165;180;180;180;210;170;180;180;210;175;120;170;165;150;150;120;120;111;205;205;205;205;150;227;239;239;239
28;3790;PARMAJ;Great tit;994942;63276;22;990942;170724;1450;6.6;3;54;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;3;4;2;1;0;0;0;0;42;68;86;32;69;86;33;65;77;27;55;75;32;58;75;37;59;76;27;48;69;37;56;71;58;75;83;50;77;86;195;195;210;240;250;240;270;255;225;240;255;270;255;240;245;270;255;195;285;240;255;225;255;255;240;270;270;255;255;240;137;137;137;137;137;137;74;74;74;74
29;3790;PARMAJ;Great tit;994942;111276;25;990942;220724;950;4.3;3;6;2;1;2;6;2;2;5;2;2;8;1;2;1;1;1;1;1;2;6;5;5;6;2;1;5;0;2;5;0;1;18;46;85;31;55;74;24;50;77;14;39;65;21;41;75;18;39;69;29;51;74;27;53;75;21;48;75;18;63;76;95;130;115;140;120;100;135;130;125;190;160;170;140;140;140;125;120;115;130;130;120;105;145;125;120;110;110;140;115;120;288;288;288;288;288;288;288;288;288;288
30;3790;PARMAJ;Great tit;994942;127276;26;990942;240724;650;4.7;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;12;8;7;4;3;3;5;3;8;7;5;2;3;3;15;49;60;26;40;62;25;46;67;17;33;54;36;44;57;15;33;54;19;42;56;16;32;59;17;40;53;15;44;57;312;238;263;290;255;285;255;255;245;248;259;245;255;255;250;236;234;226;233;220;196;260;232;265;299;269;265;191;231;238;276;276;276;276;276;276;276;276;276;276
31;3790;PARMAJ;Great tit;994942;143276;27;990942;250724;550;4.9;3;27;NA;NA;NA;NA;NA;NA;9;8;7;9;10;5;9;9;7;5;4;8;9;12;10;10;11;8;12;7;9;13;13;15;46;60;87;30;44;50;18;26;42;18;33;50;17;37;49;23;37;49;24;31;67;17;39;55;27;50;59;22;48;67;300;300;300;285;300;285;165;150;180;180;215;210;165;180;190;220;180;220;195;60;220;190;195;180;175;215;205;210;220;230;177;177;20;20;20;20;20;20;20;20
32;3790;PARMAJ;Great tit;994942;191276;30;990942;300724;850;5.3;3;56;11;14;11;NA;NA;NA;5;10;7;5;1;3;2;8;6;5;4;4;5;9;2;NA;NA;NA;NA;NA;NA;10;5;3;27;46;77;22;42;71;29;57;71;25;51;66;35;53;70;31;47;64;29;54;72;31;49;66;26;43;71;23;44;68;300;310;310;240;245;225;285;270;270;240;260;255;240;255;265;215;240;245;220;240;245;285;210;240;225;225;240;225;165;240;94;153;211;205;205;205;205;212;212;212
33;3790;PARMAJ;Great tit;1000942;39276;40;1000942;150724;1250;5.6;3;66;5;5;3;7;9;3;9;4;9;5;6;7;10;7;5;2;6;4;8;6;7;5;7;9;6;6;5;7;2;4;26;54;85;29;55;82;25;47;83;25;39;83;36;53;81;24;53;83;21;56;82;19;50;71;34;54;83;24;50;72;220;220;210;200;200;200;320;220;230;220;230;195;255;210;190;185;190;265;215;230;200;210;210;200;180;200;190;185;210;225;120;120;120;120;120;120;120;120;120;120
34;3790;PARMAJ;Great tit;1000942;55276;31;1000942;170724;450;6.7;3;5;NA;NA;NA;13;17;8;11;10;11;19;16;11;13;13;15;17;18;14;16;15;8;9;13;9;5;5;8;10;13;8;16;43;64;14;33;68;19;34;66;18;38;56;16;31;70;17;36;58;15;43;64;15;44;60;17;40;60;13;28;63;215;225;250;225;240;255;210;255;255;240;240;255;210;240;225;215;270;240;290;275;285;240;300;275;290;260;270;210;230;205;137;137;137;137;137;137;81;233;81;359
35;3790;PARMAJ;Great tit;1000942;87276;32;1000942;200724;1250;4;3;51;NA;NA;NA;3;5;3;2;5;4;5;3;3;3;8;5;4;3;4;3;3;0;2;2;2;3;4;4;1;3;4;34;57;85;29;43;78;26;46;74;25;52;72;28;52;71;30;50;69;27;62;77;34;43;50;26;33;73;36;44;52;210;225;210;210;240;240;220;255;255;240;225;210;200;210;225;195;210;225;210;210;240;270;360;330;255;255;280;260;235;240;137;137;137;137;137;137;227;101;271;358
36;3790;PARMAJ;Great tit;1000942;103276;33;1000942;210724;1150;5.1;3;43;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;0;0;3;3;2;0;3;5;5;1;3;3;1;2;5;1;4;3;3;41;60;78;31;72;87;26;47;81;13;50;69;41;60;82;32;59;89;60;64;94;25;58;92;47;56;63;26;60;77;300;320;335;320;325;335;255;270;270;285;295;200;255;230;225;195;195;205;195;195;180;210;195;180;325;315;330;255;280;220;27;27;27;206;290;290;290;290;355;355
37;3790;PARMAJ;Great tit;1000942;119276;34;1000942;230724;750;6.5;3;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19;22;14;17;20;9;22;11;7;11;12;10;16;42;63;32;39;61;32;41;66;15;31;51;35;43;53;24;32;69;21;46;55;15;38;48;28;41;59;16;37;67;466;365;401;420;385;385;325;365;405;363;352;386;420;400;420;336;370;354;352;437;404;378;377;400;362;336;379;255;310;333;276;276;276;276;276;276;276;276;276;276
38;3790;PARMAJ;Great tit;1000942;135276;35;1000942;250724;550;5.2;3;5;6;3;4;8;4;3;5;7;5;7;4;2;10;8;4;3;2;2;7;5;5;6;6;5;14;9;3;11;8;9;16;53;76;28;40;54;19;46;70;18;57;73;17;31;42;29;49;74;16;36;64;17;38;66;15;36;76;14;48;63;105;95;85;110;100;90;90;90;105;85;105;90;165;140;140;110;105;95;105;105;105;145;150;150;150;155;135;140;150;150;132;132;132;132;129;132;227;244;244;244
39;3790;PARMAJ;Great tit;1000942;151276;36;1000942;260724;450;5.5;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;0;2;21;41;64;23;35;55;22;47;50;15;43;53;25;46;52;25;40;47;18;46;51;17;38;48;15;45;56;14;49;55;140;125;155;155;155;135;NA;NA;NA;140;145;135;115;160;120;140;130;150;210;175;145;155;185;150;120;150;135;210;170;145;286;286;286;286;286;286;286;286;286;286
40;3790;PARMAJ;Great tit;1000942;167276;37;1000942;280724;1250;5.6;3;52;8;5;3;4;8;3;5;5;4;4;1;3;5;3;4;10;3;1;9;1;7;9;4;2;8;5;5;3;7;7;34;55;80;41;55;79;47;58;71;26;49;66;33;58;80;37;51;62;48;65;84;28;42;58;40;55;70;41;59;69;187;226;195;225;205;250;190;180;195;205;255;195;210;210;210;195;290;192;210;225;230;200;165;210;200;250;195;195;210;240;138;138;138;128;128;138;227;138;138;138
41;3790;PARMAJ;Great tit;1000942;183276;38;1000942;290724;950;4.5;3;38;NA;NA;NA;NA;NA;NA;5;4;4;7;5;3;5;4;4;8;4;3;5;7;6;5;5;2;5;2;2;6;5;3;21;42;57;37;55;69;22;54;77;17;54;67;26;51;72;22;54;74;24;53;70;20;50;76;27;57;74;17;57;69;220;240;250;195;210;210;220;200;215;220;190;200;210;220;210;210;195;225;200;220;195;210;230;210;210;225;245;220;230;210;296;296;296;296;296;296;296;296;296;296
42;3790;PARMAJ;Great tit;1000942;199276;39;1000942;310724;550;3.9;3;49;NA;NA;NA;13;9;7;8;6;2;12;11;3;17;19;8;17;11;7;21;16;9;NA;NA;NA;18;13;5;15;14;9;26;42;66;30;57;72;52;65;76;14;40;64;15;42;63;15;41;66;15;48;65;30;48;68;29;47;64;14;37;49;255;180;180;255;195;180;165;180;180;210;210;215;205;220;230;200;195;210;215;210;210;135;150;150;195;195;210;175;150;145;106;106;106;44;44;44;44;212;227;260
43;3790;PARMAJ;Great tit;1006942;31276;51;1010942;140724;1850;5.3;2;15;3;1;NA;NA;NA;NA;NA;NA;NA;3;0;NA;0;1;NA;2;2;NA;0;0;0;0;0;0;3;6;NA;1;1;NA;58;82;NA;58;72;NA;65;72;NA;67;85;NA;70;92;NA;49;59;NA;62;96;NA;53;71;NA;57;78;NA;45;65;NA;320;320;NA;360;330;NA;340;340;NA;280;285;NA;190;180;NA;225;225;NA;240;240;NA;270;270;NA;275;285;NA;230;230;NA;94;35;35;35;187;314;74;145;350;256
44;3790;PARMAJ;Great tit;1006942;39276;52;1010942;150724;1950;4.8;3;62;NA;NA;NA;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;NA;NA;NA;1;0;0;0;0;0;0;0;0;58;68;76;63;70;77;68;72;80;33;53;80;53;66;80;58;71;87;65;85;98;60;76;90;70;79;104;57;82;92;270;290;195;240;235;150;135;235;170;255;240;230;250;240;270;240;315;260;307;310;290;307;283;289;274;238;182;204;191;175;314;314;314;128;128;157;261;261;261;261
45;3790;PARMAJ;Great tit;1006942;63276;42;1010942;170724;1050;3.6;3;82;0;3;1;3;1;2;0;0;1;0;1;1;0;1;2;1;1;1;0;1;0;0;1;1;1;0;3;0;1;0;15;31;65;27;41;76;18;42;67;17;38;68;25;50;72;22;43;73;16;43;75;24;58;88;29;43;50;31;50;86;145;150;165;160;165;145;155;170;175;165;165;150;155;145;135;160;150;120;150;140;135;170;180;180;230;275;225;220;205;220;120;120;120;120;120;120;120;248;248;248
46;3790;PARMAJ;Great tit;1006942;80276;44;1010942;190724;2050;4.7;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;80;NA;66;73;NA;72;79;NA;70;77;NA;69;75;NA;74;81;NA;55;66;NA;55;59;NA;75;79;NA;87;96;NA;110;195;NA;265;235;NA;255;240;NA;255;255;NA;285;265;NA;260;225;NA;255;265;NA;285;275;NA;285;255;NA;260;290;NA;281;281;281;281;281;281;281;281;281;281
47;3790;PARMAJ;Great tit;1006942;95276;46;1010942;210724;1250;6;3;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;0;6;9;2;2;2;2;3;3;0;7;6;3;2;2;1;28;49;70;30;49;72;23;47;70;14;31;71;20;42;70;20;51;69;17;47;67;21;37;63;19;47;71;41;67;75;200;220;200;240;240;220;210;245;225;195;225;210;195;220;190;190;185;220;210;195;205;145;185;185;190;195;185;285;285;270;121;121;121;121;121;121;121;121;121;198
48;3790;PARMAJ;Great tit;1006942;175276;50;1010942;290724;750;6.3;3;5;9;5;7;10;6;7;12;4;5;11;4;4;6;4;1;11;2;5;10;11;6;8;6;7;12;10;4;8;6;4;16;54;68;28;56;73;40;49;70;14;40;60;28;49;71;22;59;73;29;54;72;32;50;76;27;49;68;24;43;66;180;225;195;225;225;195;225;195;225;210;195;195;225;252;225;225;220;215;225;225;225;225;195;195;200;200;195;210;223;250;150;150;150;150;150;150;150;65;65;65
49;3790;PARMAJ;Great tit;1012942;47276;41;1010942;160724;2250;3.6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;114;NA;90;103;NA;73;85;NA;54;81;NA;72;86;NA;75;92;NA;66;74;NA;64;80;NA;77;98;NA;93;102;NA;255;215;NA;235;220;NA;225;200;NA;220;200;NA;250;255;NA;265;255;NA;255;225;NA;270;270;NA;260;260;NA;275;195;NA;94;94;128;128;35;35;35;35;35;256
50;3790;PARMAJ;Great tit;1012942;55276;42;1010942;170724;1750;4.1;3;58;NA;NA;NA;5;0;0;1;0;0;2;1;0;4;4;2;0;1;1;0;1;1;2;2;2;4;3;2;4;3;0;48;79;91;42;71;81;32;67;80;42;65;78;38;73;86;42;64;86;47;64;83;33;55;75;48;68;83;44;64;74;100;105;90;120;125;120;165;120;115;130;120;115;185;130;150;145;120;135;135;115;125;145;125;125;130;140;130;150;130;120;48;48;71;71;71;71;71;71;71;71
51;3790;PARMAJ;Great tit;1012942;71276;43;1010942;180724;2250;4.1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;96;NA;62;95;NA;81;95;NA;74;99;NA;80;93;NA;64;87;NA;72;93;NA;75;95;NA;59;88;NA;87;100;NA;120;90;NA;135;120;NA;125;140;NA;150;140;NA;125;115;NA;115;90;NA;125;120;NA;120;105;NA;130;120;NA;130;135;NA;120;120;120;120;120;120;120;120;120;120
52;3790;PARMAJ;Great tit;1012942;87276;45;1010942;200724;1150;2.6;3;34;6;7;5;11;8;6;10;6;6;8;4;5;12;8;12;7;7;2;7;4;3;6;9;2;5;4;5;4;6;5;33;58;83;28;42;77;32;48;76;26;54;74;29;54;73;31;51;71;28;63;76;23;36;50;17;28;54;31;37;57;210;195;195;210;225;255;210;210;240;240;240;225;225;230;225;195;225;225;220;225;240;180;220;210;205;225;230;225;230;220;137;137;137;137;137;137;227;201;43;43
